datetime,street_time,count,velocity
2019-01-31 21:15:00,1266.0,21,82.1
2019-01-04 06:00:00,145.0,2,14.5
2019-02-12 12:30:00,2188.0,10,33.5
2019-01-08 03:15:00,470.0,2,9.5
2019-01-08 06:15:00,2818.0,65,69.62
2019-01-08 07:45:00,10.0,1,23.0
2019-02-14 16:15:00,213.0,38,30.07
2019-01-18 07:30:00,663.0,74,74.29
2019-01-10 02:45:00,1285.0,19,83.0
2019-01-10 05:45:00,1173.0,1,1.0
2019-02-26 03:00:00,1325.0,2,62.75
2019-02-15 21:15:00,1266.0,9,84.89
2019-01-31 08:30:00,1195.0,4,35.0
2019-02-04 11:15:00,382.0,2,8.5
2019-01-18 16:45:00,1434.0,1,6.0
2019-02-19 11:15:00,1442.0,47,87.51
2019-01-25 08:00:00,2390.0,5,10.8
2019-02-05 06:45:00,1325.0,17,21.71
2019-01-14 08:00:00,989.0,9,18.37
